Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 21 Enplanements,CY 20 Enplanements,% Change
57,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2184959,1157301,0.888
125,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,450694,233484,0.9303
148,AL,AK,JNU,Juneau,Juneau International,P,N,306512,164447,0.8639
207,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,117728,65793,0.7894
213,AL,AK,BET,Bethel,Bethel,P,N,105877,64648,0.6377
227,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,80366,38343,1.096
234,AL,AK,ADQ,Kodiak,Kodiak,P,N,72905,40218,0.8127
243,AL,AK,ENA,Kenai,Kenai Municipal,P,N,68044,33053,1.0586
248,AL,AK,SCC,Deadhorse,Deadhorse,P,N,64245,67676,-0.0507
266,AL,AK,OME,Nome,Nome,P,N,46645,30274,0.5408
268,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,46305,30633,0.5116
289,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,31898,22238,0.4344
292,AL,AK,HOM,Homer,Homer,P,N,30972,9677,2.2006
295,AL,AK,AKN,King Salmon,King Salmon,P,N,29914,17254,0.7337
308,AL,AK,DLG,Dillingham,Dillingham,P,N,25988,13900,0.8696
319,AL,AK,MRI,Anchorage,Merrill Field,P,N,22907,23025,-0.0051
323,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,20690,11726,0.7645
331,AL,AK,DUT,Unalaska,Unalaska,P,N,19099,10072,0.8962
354,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,15058,10264,0.4671
364,AL,AK,AKW,Klawock,Klawock,P,N,14157,10077,0.4049
382,AL,AK,WRG,Wrangell,Wrangell,P,N,12100,7102,0.7037
392,AL,AK,YAK,Yakutat,Yakutat,P,N,10899,5959,0.829
397,AL,AK,GST,Gustavus,Gustavus,P,N,10305,2959,2.4826
386,AL,AK,DGG,Red Dog Mine,Red Dog,GA,None,11768,9246,0.2728
390,AL,AK,LHD,Anchorage,Lake Hood,GA,None,11000,10763,0.022
419,AL,AK,GAL,Galena,Edward G Pitka Sr,CS,None,7978,4166,0.915
428,AL,AK,HNS,Haines,Haines,CS,None,7206,4093,0.7606
437,AL,AK,UNK,Unalakleet,Unalakleet,CS,None,6594,4359,0.5127
444,AL,AK,ENM,Emmonak,Emmonak,CS,None,5995,3059,0.9598
449,AL,AK,HNH,Hoonah,Hoonah,CS,None,5575,4472,0.2466
452,AL,AK,VDZ,Valdez,Valdez Pioneer Field,CS,None,5195,1116,3.655
471,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,None,4163,2791,0.4916
477,AL,AK,ANI,Aniak,Aniak,CS,None,3935,2672,0.4727
478,AL,AK,ILI,Iliamna,Iliamna,CS,None,3933,2900,0.3562
479,AL,AK,AQH,Quinhagak,Quinhagak,CS,None,3890,2263,0.719
481,AL,AK,CDB,Cold Bay,Cold Bay,CS,None,3814,6323,-0.3968
486,AL,AK,CXF,Coldfoot,Coldfoot,CS,None,3546,1010,2.5109
489,AL,AK,VAK,Chevak,Chevak,CS,None,3489,2015,0.7315
491,AL,AK,SOV,Seldovia,Seldovia,CS,None,3469,3051,0.137
492,AL,AK,5Z9,Katmai National Park,Lake Brooks,GA,None,3457,1159,1.9827
504,AL,AK,SGY,Skagway,Skagway,CS,None,3082,1807,0.7056
506,AL,AK,KSM,Saint Mary's,St Mary's,CS,None,2982,2166,0.3767
507,AL,AK,HPB,Hooper Bay,Hooper Bay,CS,None,2903,2017,0.4393
510,AL,AK,PHO,Point Hope,Point Hope,CS,None,2844,2012,0.4135
511,AL,AK,SHH,Shishmaref,Shishmaref,CS,None,2822,1603,0.7604
512,AL,AK,WLK,Selawik,Selawik,CS,None,2806,2268,0.2372
515,AL,AK,BVK,Buckland,Buckland,CS,None,2625,1855,0.4151
516,AL,AK,IIK,Kipnuk,Kipnuk,CS,None,2600,2026,0.2833
517,AL,AK,AFE,Kake,Kake,CS,None,2552,1642,0.5542
518,AL,AK,WTK,Noatak,Noatak,CS,None,2506,2201,0.1386
520,AL,AK,6R7,Old Harbor,Old Harbor,GA,None,2465,1599,0.5416
521,AL,AK,SCM,Scammon Bay,Scammon Bay,GA,None,2451,1603,0.529
522,AL,AK,D76,Noorvik,Robert /Bob/ Curtis Memorial,GA,None,2386,2226,0.0719
523,AL,AK,2A3,Larsen Bay,Larsen Bay,GA,None,2366,1452,0.6295
524,AL,AK,AWI,Wainwright,Wainwright,GA,None,2356,1900,0.24
526,AL,AK,AKP,Anaktuvuk Pass,Anaktuvuk Pass,GA,None,2321,1833,0.2662
529,AL,AK,MCG,McGrath,McGrath,GA,None,2228,1207,0.8459
530,AL,AK,ADK,Adak (Naval) Station/Mitchell Field,Adak,GA,None,2205,1611,0.3687
